X,Y,Norm X,Norm Y,Trial,HZ,Duration (s)
0.0,0.0,0.09602992202972627,0.25431701106145976,1,30,10.0
1.5044273507033057,-0.5052857350537908,0.13666012964471885,0.24382574286778658,1,30,10.0
3.0088547014066114,-1.0105714701075816,0.17729033725971133,0.23333447467411328,1,30,10.0
4.513282052109917,-1.5158572051613723,0.21792054487470358,0.22284320648043998,1,30,10.0
6.017709402813223,-2.0211429402151633,0.25855075248969617,0.21235193828676657,1,30,10.0
6.958766136567592,-1.151175169315667,0.2839659581173072,0.2304151143694778,1,30,10.0
7.899822870321961,-0.28120739841617104,0.3093811637449184,0.24847829045218872,1,30,10.0
8.84087960407633,0.588760372483325,0.3347963693725293,0.26654146653489996,1,30,10.0
9.781936337830698,1.458728143382821,0.36021157500014045,0.28460464261761087,1,30,10.0
10.722993071585067,2.328695914282317,0.3856267806277516,0.302667818700322,1,30,10.0
11.963418977786331,2.78630606527443,0.4191270769873008,0.3121691968100653,1,30,10.0
13.203844883987594,3.243916216266543,0.4526273733468502,0.3216705749198083,1,30,10.0
14.444270790188858,3.701526367258656,0.48612766970639965,0.3311719530295516,1,30,10.0
15.684696696390121,4.159136518250769,0.5196279660659491,0.3406733311392949,1,30,10.0
16.925122602591383,4.616746669242882,0.5531282624254985,0.35017470924903793,1,30,10.0
18.012775715990024,5.636976088746721,0.5825026099403987,0.3713577740310883,1,30,10.0
19.100428829388665,6.65720550825056,0.6118769574552989,0.3925408388131386,1,30,10.0
20.188081942787306,7.677434927754399,0.6412513049701993,0.41372390359518896,1,30,10.0
21.275735056185948,8.697664347258238,0.6706256524850998,0.4349069683772393,1,30,10.0
22.36338816958459,9.717893766762076,0.7,0.45609003315928964,1,30,10.0
21.582285849562034,10.749120735393108,0.6789046979129751,0.47750144049954435,1,30,10.0
20.80118352953948,11.78034770402414,0.6578093958259503,0.4989128478397995,1,30,10.0
20.020081209516924,12.811574672655171,0.6367140937389255,0.5203242551800544,1,30,10.0
19.23897888949437,13.842801641286202,0.6156187916519007,0.5417356625203094,1,30,10.0
18.457876569471814,14.874028609917234,0.5945234895648759,0.5631470698605643,1,30,10.0
17.86006043558814,16.192264539515723,0.5783782143384377,0.5905176558884515,1,30,10.0
17.262244301704463,17.510500469114213,0.5622329391119998,0.6178882419163385,1,30,10.0
16.664428167820788,18.828736398712703,0.5460876638855618,0.6452588279442255,1,30,10.0
16.066612033937112,20.146972328311193,0.5299423886591237,0.6726294139721127,1,30,10.0
15.468795900053438,21.465208257909683,0.5137971134326857,0.7,1,30,10.0
14.154493088791924,21.205373380443575,0.4783016167139116,0.6946050379093383,1,30,10.0
12.840190277530409,20.945538502977467,0.4428061199951372,0.689210075818677,1,30,10.0
11.525887466268895,20.68570362551136,0.4073106232763628,0.6838151137280157,1,30,10.0
10.21158465500738,20.42586874804525,0.3718151265575884,0.6784201516373545,1,30,10.0
8.897281843745866,20.16603387057914,0.336319629838814,0.6730251895466932,1,30,10.0
8.45310913504038,19.014124308830965,0.324323816705544,0.6491080446348734,1,30,10.0
8.008936426334895,17.86221474708279,0.31232800357227397,0.625190899723054,1,30,10.0
